Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Dec 9,120 mints,2 mints,40 mints,6 mints,60 mints,5 mints,,
Dec 10,150 mints,5 mints,0 mints,5 mints,80 mints,10 mints,,
Dec 11,100 mints,2 mints,rain,2 mints,60 mints,10 mints,,
Dec 12,200 mints ,0 mints,0 mints,10 mints,0 mints,10 mints,,
Dec 13,holiday ,0 mints,15 mints,4 mints,0 mints,5 mints,,
Dec 14,180 mints,2 mints,0 mints,3 mints,10 mints,20 mints,,
Dec 15,210 mints,2 mints,20 mints,3 mints,20 mints,20 mints,,
Dec 16,200 mints,5 mints,40 mints,7 mints,30 mints,5 mints,,
Dec 17,250 mints,2 mints ,60 mints,3 mints,0 mints ,10 mints,,
Dec 18,200 mints,5 mints,80 mints,2 mints,60 mints,10 mints,,
Dec 19,180 mints,5 mints,45 mints,3 mints,0 mints,10 mints,,
Dec 20,holiday ,5 mints,45 mints,3 mints,120 mints,15 mints,,
Dec 21,150 mints,6 mints,40 mints,8 mints,100 mints,10 mints ,,
Dec 22,60 mints,5 mints,30 mints,20 mints,60 mints,15 mints,,
Dec 23,180 mints,5 mints,0 mints,4 mints,30 mints,10 mints,,
Dec 24,120 mints,2 mints,40 mints,4 mints,80 mints ,15 mints,,
Dec 25,150 mints,5 mints,30 mints,5 mints,70 mints,10 mints,,
Dec 26,holiday,3 mints,0 mints,2 mints,60 mints ,30 mints,,
Dec 27,holiday ,5 mints,rain,7 mints,80 mints,10 mints,,
Dec 28,180 mints,6 mints,40 mints,9 mints,10 mints,15 mints,,
Dec 29,150 mints,4 mints,60 mints,7 mints,60 mints,10 mints,,
Dec 30,200 mints,5 mints,40 mints,3 mints,120 mints,5 mints,,
Dec 31,120 mints,2 mints,0 mints,2 mints,60 mints,10 mints,,
Jan 1,60 mints,5 mints,30 mints,0 mints,120 mints,5 mints,,
Jan 2,holiday ,2 mints,10 mints,13 mints,200 mints,5 mints,,
Jan 3,60 mints,3 mints,40 mints,10 mints,150 mints,5 mints,,
Jan 4,holiday,2 mints,0 mints,4 mints,120 mints,5 mints,,
Jan 5,150 mints,2 mints,rain,5 mints,60 mints,10 mints,,
Jan 6,200 mints,2 mints,40 mints,4 mints,120 mints,5 mints,,
Jan 7,220 mints ,5 mints,0 mints,4 mints,60 mints,5 mints,,
Jan 8,200 mints,6 mints,30 mints,5 mints,150 mints,5 mints,,
Jan 9,holiday ,2 mints,0 mints ,5 mints,0 mints,5 mints ,,
Jan 10,60 mints ,3 mints,0 mints,7 mints,10 mints,10 mints,,
Jan 11,120 mints,5 mints,40 mints,3 mints,30 mints,10 mints,,
Jan 12,100 mints,10 mints,40 mints,5 mints,0 mints,10 mints,,
Jan 13,150 mints,5 mints ,60 mints ,4 mints,80 mints,5 mints,,
Jan 14,200 mints,2 mints ,0 mints ,6 mints,120 mints,5 mints,,
Jan 15,130 mints,5 mints,30 mints,3 mints ,180 mints ,5 mints,,
Jan 16,200 mints,5 mints,25 mints,5 mints,0 mints ,10 mints,,
Jan 17,120 mints,2 mints,0 mints,5 mints,120 mints,10 mints,,
Jan 18,60 mints,5 mints,60 mints,7 mints ,150 mints,10 mints,,
Jan 19,300 mints,5 mints,45 mints,3 mints,0 mints,5 mints,,
Jan 20,200 mints ,3 mints,30 mints,4 mints,20 mints ,5 mints ,,
Jan 21,150 mints,5 mints ,40 mints,2 mints,120 mints,5 mints,,
Jan 22,240 mints,5 mints,0 mints,60 mints ,150 mints,10 mints,,
Jan 23,300 mints ,3 mints ,30 mints ,11 mints,0 mints ,15 mints ,,
Jan 24,240 mints,2 mints,0 mints,10 mints,30 mints,10 mints ,,
Jan 25,200 mints,5 mints,0 mints,2 mints ,0 mints ,5 mints ,,
